CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
01;256670;619078;22640;54.1;10.5;14.9;12;11.9;10.5;7.4;6.7;5.3;21.4;78.1;71.1;3;4;25.2;8.7;4;2;1.1;0.9;-16;12460;42680;3.4
02;222104;518441;19100;44.3;18.5;29.7;22.7;21.8;18.9;11.1;8.7;8.8;35.8;67.7;58.9;3.4;5.4;30.7;8.2;7.6;2.9;2.9;1.8;-14.2;10440;32130;3.1
03;158099;329200;19750;44.3;15.4;25.3;19.4;18.8;16.1;10;9.4;8.4;30.6;60.3;51.8;2.8;5.7;37.6;10.3;6.4;2;2.8;1.6;-14.6;11070;32880;3
04;73922;157059;19940;46.4;16.6;24.6;20.8;20.7;16.9;11.7;10.8;9.1;28.7;61.2;51;3.5;6.7;36.3;12.1;5.5;1.9;2.2;1.4;-15.1;10730;34680;3.2
05;63739;135275;20350;48.2;13.9;20.1;16.6;16.8;14.9;9.2;9.5;7.9;24.2;63.8;52.7;3.6;7.5;35.2;11;5;1.9;1.8;1.3;-15;11430;34340;3
06;518791;1106871;21590;55.5;15.5;21.9;17.7;17.5;15.9;12.5;10.7;8;25;71.6;61.7;3.4;6.5;29.9;13.3;4.6;1.5;1.9;1.2;-19.4;10820;40670;3.8
07;141549;314635;20150;45.4;14.3;21.8;17.8;17.1;14.5;9.4;9.3;8.1;28.9;64.1;55;3.5;5.6;34.2;10.8;5.4;2.2;1.9;1.3;-14.5;11340;33450;2.9
08;117216;264798;19040;42.3;18.9;30.6;22.8;22.2;18.7;12.5;10.9;9.4;35.6;66;57.4;3.2;5.4;31.5;8.9;7.5;2.6;3;1.9;-13.9;10350;32050;3.1
09;68449;144903;19190;41.2;18.4;27.8;23.5;21.6;19.2;12.5;12.8;11.3;33.6;60.4;51.2;3.4;5.8;37.2;9.3;6.8;2.1;3;1.7;-13.7;10280;32230;3.1
10;131824;292886;19820;47.4;16.3;27.5;20.8;19.4;15.6;10;7.4;6.8;32.1;67.8;57.1;3.3;7.4;31;10;6.8;2.5;2.5;1.8;-15.6;10840;34170;3.2
11;166190;357687;18560;39.7;20.8;33.4;26.1;24.4;21.9;13.9;14.3;11.9;36.5;59.7;49.4;3.7;6.6;37.2;9.4;7.9;2.3;3.5;2.1;-14.2;9910;32130;3.2
